Display Name,Family,Subfamily,Pref. Family,Pref. Subfamily,Version,Vendor ID,Styles,Width,Weight,Blocks,Characters,Glyphs
汉仪旗黑-55简 (Book),汉仪旗黑-55简,Book,汉仪旗黑,55简,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-60S (Regular),汉仪旗黑-60S,Regular,汉仪旗黑,60S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28874
汉仪旗黑-60繁 (Regular),汉仪旗黑-60繁,Regular,汉仪旗黑,60繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-60简 (Regular),汉仪旗黑-60简,Regular,汉仪旗黑,60简,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-65S (Medium),汉仪旗黑-65S,Medium,汉仪旗黑,65S,Version 5.01,HNYI,Regular,5 (Medium),500 (Medium),37,28873,28874
汉仪旗黑-65繁 (Medium),汉仪旗黑-65繁,Medium,汉仪旗黑,65繁,Version 5.01,HNYI,Regular,5 (Medium),500 (Medium),34,8007,8008
汉仪旗黑-65简 (Medium),汉仪旗黑-65简,Medium,汉仪旗黑,65简,Version 5.01,HNYI,Regular,5 (Medium),500 (Medium),34,8007,8008
汉仪旗黑-70S (DemiBold),汉仪旗黑-70S,DemiBold,汉仪旗黑,70S,Version 5.01,HNYI,Regular,5 (Medium),600 (Semi-bold),37,28873,28874
汉仪旗黑-70繁 (DemiBold),汉仪旗黑-70繁,DemiBold,汉仪旗黑,70繁,Version 5.01,HNYI,Regular,5 (Medium),600 (Semi-bold),34,8007,8008
汉仪旗黑-70简 (DemiBold),汉仪旗黑-70简,DemiBold,汉仪旗黑,70简,Version 5.01,HNYI,Regular,5 (Medium),600 (Semi-bold),34,8007,8008
汉仪旗黑-75S (Bold),汉仪旗黑-75S,Bold,汉仪旗黑,75S,Version 5.01,HNYI,Regular,5 (Medium),700 (Bold),37,28873,28874
汉仪旗黑-75繁 (Bold),汉仪旗黑-75繁,Bold,汉仪旗黑,75繁,Version 5.01,HNYI,Regular,5 (Medium),700 (Bold),34,8007,8008
汉仪旗黑-75简 (Bold),汉仪旗黑-75简,Bold,汉仪旗黑,75简,Version 5.01,HNYI,Regular,5 (Medium),700 (Bold),34,8007,8008
汉仪旗黑-80S (ExtraBold),汉仪旗黑-80S,ExtraBold,汉仪旗黑,80S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28874
汉仪旗黑-80繁 (ExtraBold),汉仪旗黑-80繁,ExtraBold,汉仪旗黑,80繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-80简 (ExtraBold),汉仪旗黑-80简,ExtraBold,汉仪旗黑,80简,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-85S (Heavy),汉仪旗黑-85S,Heavy,汉仪旗黑,85S,Version 5.01,HNYI,Regular,5 (Medium),900 (Black),37,28873,28874
汉仪旗黑-85繁 (Heavy),汉仪旗黑-85繁,Heavy,汉仪旗黑,85繁,Version 5.01,HNYI,Regular,5 (Medium),900 (Black),34,8007,8008
汉仪旗黑-85简 (Heavy),汉仪旗黑-85简,Heavy,汉仪旗黑,85简,Version 5.01,HNYI,Regular,5 (Medium),900 (Black),34,8007,8008
汉仪旗黑-90S (Black),汉仪旗黑-90S,Black,汉仪旗黑,90S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28874
汉仪旗黑-90繁 (Black),汉仪旗黑-90繁,Black,汉仪旗黑,90繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-90简 (Black),汉仪旗黑-90简,Black,汉仪旗黑,90简,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-95S (ExtraBlack),汉仪旗黑-95S,ExtraBlack,汉仪旗黑,95S,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),37,28873,28874
汉仪旗黑-95繁 (ExtraBlack),汉仪旗黑-95繁,ExtraBlack,汉仪旗黑,95繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-95简 (ExtraBlack),汉仪旗黑-95简,ExtraBlack,汉仪旗黑,95简,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑-105繁 (UltraBlack),汉仪旗黑-105繁,UltraBlack,汉仪旗黑,105繁,Version 5.00,HNYI,Regular,5 (Medium),900 (Black),34,8007,8008
汉仪旗黑-105简 (UltraBlack),汉仪旗黑-105简,UltraBlack,汉仪旗黑,105简,Version 5.00,HNYI,Regular,5 (Medium),900 (Black),34,8007,8008
汉仪旗黑-105简繁 (UltraBlack),汉仪旗黑-105简繁,UltraBlack,汉仪旗黑,105简繁,Version 5.01,HNYI,Regular,5 (Medium),400 (Normal),34,10217,10218
汉仪旗黑X1-35W (Thin),汉仪旗黑X1-35W,Thin,汉仪旗黑X1,35W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10414
汉仪旗黑X1-35繁 (Thin),汉仪旗黑X1-35繁,Thin,汉仪旗黑X1,35繁,Version 5.00,HNYI,Regular,5 (Medium),100 (Thin),34,8007,8008
汉仪旗黑X1-35简 (Thin),汉仪旗黑X1-35简,Thin,汉仪旗黑X1,35简,Version 5.00,HNYI,Regular,5 (Medium),100 (Thin),34,8007,8008
汉仪旗黑X1-45W (ExtraLight),汉仪旗黑X1-45W,ExtraLight,汉仪旗黑X1,45W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10414
汉仪旗黑X1-45繁 (ExtraLight),汉仪旗黑X1-45繁,ExtraLight,汉仪旗黑X1,45繁,Version 5.00,HNYI,Regular,5 (Medium),200 (Extra-light),34,8007,8008
汉仪旗黑X1-45简 (ExtraLight),汉仪旗黑X1-45简,ExtraLight,汉仪旗黑X1,45简,Version 5.00,HNYI,Regular,5 (Medium),200 (Extra-light),34,8007,8008
汉仪旗黑X1-55W (Book),汉仪旗黑X1-55W,Book,汉仪旗黑X1,55W,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,10413,10414
汉仪旗黑X1-55繁 (Book),汉仪旗黑X1-55繁,Book,汉仪旗黑X1,55繁,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
汉仪旗黑X1-55简 (Book),汉仪旗黑X1-55简,Book,汉仪旗黑X1,55简,Version 5.00,HNYI,Regular,5 (Medium),400 (Normal),34,8007,8008
